year,assessed_improvement_value,assessed_land_value,total_assessed_value,market_improvement_value,market_land_value,total_market_value,tax_amount
2016,4750,3490,8240,59700.0,43800.0,103500,671.94
2017,3720,6310,10030,51600.0,87600.0,139200,773.66
2018,3720,6310,10030,51600.0,87600.0,139200,775.97
2019,8110,7940,16050,113400.0,111000.0,224400,1157.46
2020,8110,7940,16050,113400.0,111000.0,224400,1190.84
2021,8480,9310,17790,118600.0,130200.0,248800,1327.44
2022,8240,9050,17290,118600.0,130200.0,248800,1327.44
2011,120,5580,5700,,,71600,406.45
2013,3097,1863,4960,38900.0,23400.0,62300,412.13
2014,3100,1860,4960,38900.0,23400.0,62300,411.94
2015,4750,3490,8240,59700.0,43800.0,103500,643.77
