City,State,Cost of Living Index,Median Income,Crime Index ,Price,Beds,Baths,Area (sqft),Lot Size
Los-Angeles,California,145.1,70372,327.4,126000000.0,8,20,"30,610",9.9
Los-Angeles,California,145.1,70372,327.4,139000000.0,12,17,N/A,2.08
Los-Angeles,California,145.1,70372,327.4,3395000.0,5,6,"4,816","9,408"
Los-Angeles,California,145.1,70372,327.4,85000000.0,13,16,"28,000",2.2
Los-Angeles,California,145.1,70372,327.4,9500000.0,5,7,"9,375",0.74
Los-Angeles,California,145.1,70372,327.4,195000000.0,7,20,N/A,8.4
Los-Angeles,California,145.1,70372,327.4,1899000.0,2,2.5,"1,731","8,371"
Los-Angeles,California,145.1,70372,327.4,155000000.0,14,16.5+,"56,500",4.6
Los-Angeles,California,145.1,70372,327.4,899000.0,4,2.5,"1,479","7,501"
Los-Angeles,California,145.1,70372,327.4,1445000.0,3,2,"1,941","9,808"
Los-Angeles,California,145.1,70372,327.4,1849000.0,3,2,"2,454","6,150"
Los-Angeles,California,145.1,70372,327.4,2350000.0,4,3,"2,175","6,948"
Los-Angeles,California,145.1,70372,327.4,1450000.0,4,2,"2,358",0.44
Los-Angeles,California,145.1,70372,327.4,1150000.0,3,3,"1,526","5,702"
Los-Angeles,California,145.1,70372,327.4,1677000.0,3,2,"1,506","7,605"
Los-Angeles,California,145.1,70372,327.4,749900.0,3,2,"1,152","4,520"
Los-Angeles,California,145.1,70372,327.4,499000.0,2,1.5,"1,085",5.3
Los-Angeles,California,145.1,70372,327.4,1150000.0,2,2,"1,610",0.39
Los-Angeles,California,145.1,70372,327.4,475000.0,2,1,600,"2,640"
Los-Angeles,California,145.1,70372,327.4,2900000.0,7,6,"3,639","9,051"
Los-Angeles,California,145.1,70372,327.4,629000.0,3,2,"1,222",0.31
Los-Angeles,California,145.1,70372,327.4,1525000.0,2,3,"1,728","1,690"
Los-Angeles,California,145.1,70372,327.4,1099000.0,2,3,"1,313","6,974"
Los-Angeles,California,145.1,70372,327.4,399900.0,1,1,520,0.63
Los-Angeles,California,145.1,70372,327.4,1795000.0,N/A,N/A,N/A,0.47
Los-Angeles,California,145.1,70372,327.4,2400000.0,N/A,N/A,N/A,1
Los-Angeles,California,145.1,70372,327.4,3750000.0,10,7,"4,710","7,587"
Los-Angeles,California,145.1,70372,327.4,1099000.0,4,4,"2,302","7,454"
Los-Angeles,California,145.1,70372,327.4,1300000.0,N/A,N/A,N/A,0.37
Los-Angeles,California,145.1,70372,327.4,1795000.0,3,3.5,"2,004","1,125"
Los-Angeles,California,145.1,70372,327.4,225000.0,N/A,N/A,N/A,"4,871"
Los-Angeles,California,145.1,70372,327.4,1650000.0,N/A,N/A,N/A,"5,499"
Los-Angeles,California,145.1,70372,327.4,545000.0,2,1,816,"6,052"
